TotalIncomingRequests,EOFErrors,ECONNREFUSEDErrors,TrueECONNRESETErrors,TotalOutgoingRequests,OutgoingNetworkErrors,Hostname,SuccessfulOutgoingRequests,FailedOutgoingRequests,OutgoingUnknownErrors,OutgoingHTTPErrors,ForceClosedErrors,ECONNABORTEDErrors,StartTime
274473,5,49,11,290215,65,go-server-deployment-69549d5865-2sqtp,289650,65,0,0,0,0,2019-10-19 02:09:33.189601227 +0000 UTC m=+61.002250346
159312,9,0,3,158265,12,go-server-deployment-69549d5865-mhbvt,157754,12,0,0,0,0,2019-10-19 02:10:06.355165212 +0000 UTC m=+61.038431194
3518,0,0,0,0,0,go-server-deployment-69549d5865-b267j,0,0,0,0,0,0,2019-10-19 02:09:56.203123376 +0000 UTC m=+61.011419740
188526,28,2,6,302028,37,go-server-deployment-69549d5865-r9pbz,301491,37,0,0,0,0,2019-10-19 02:09:33.96344333 +0000 UTC m=+61.004791327
209512,44,3,5,196084,52,go-server-deployment-69549d5865-vsszv,195530,52,0,0,0,0,2019-10-19 02:09:34.662613982 +0000 UTC m=+61.026143518
272431,0,0,3,292393,3,go-server-deployment-69549d5865-vclt8,291890,3,0,0,0,0,2019-10-19 02:09:32.789134957 +0000 UTC m=+61.002072321
16014,0,0,0,10312,0,go-server-deployment-69549d5865-6gm4c,9314,0,0,0,0,0,2019-10-19 02:09:33.609042097 +0000 UTC m=+61.008228304
187727,19,0,10,287999,29,go-server-deployment-69549d5865-47qhh,287471,29,0,0,0,0,2019-10-19 02:09:34.043770374 +0000 UTC m=+61.003308592
85184,63,73,14,212085,150,go-server-deployment-69549d5865-wcbjl,211344,150,0,0,0,0,2019-10-19 02:10:06.779093411 +0000 UTC m=+61.006212000
62812,0,0,7,200596,7,go-server-deployment-69549d5865-x7pqv,200089,7,0,0,0,0,2019-10-19 02:10:23.096279552 +0000 UTC m=+61.004912971
1689,0,0,0,0,0,go-server-deployment-69549d5865-sqbg4,0,0,0,0,0,0,2019-10-19 02:09:49.336084902 +0000 UTC m=+61.003804361
289323,18,7,11,285446,36,go-server-deployment-69549d5865-pt6ss,284904,36,0,0,0,0,2019-10-19 02:09:42.338353928 +0000 UTC m=+61.002735071
2490,0,0,0,14,0,go-server-deployment-69549d5865-gpcm5,0,0,0,0,0,0,2019-10-19 02:10:05.05848707 +0000 UTC m=+61.009747150
160231,0,6,5,266407,11,go-server-deployment-69549d5865-6pccw,265896,11,0,0,0,0,2019-10-19 02:10:03.172629189 +0000 UTC m=+61.003795009
210435,88,5,11,211283,104,go-server-deployment-69549d5865-lxrpv,210679,104,0,0,0,0,2019-10-19 02:09:35.659175577 +0000 UTC m=+61.006043776
170763,0,8,4,296999,12,go-server-deployment-69549d5865-l7vqb,296487,12,0,0,0,0,2019-10-19 02:09:35.214479983 +0000 UTC m=+61.006137850
209524,62,2,13,190830,77,go-server-deployment-69549d5865-k2ctc,190224,77,0,0,0,0,2019-10-19 02:09:39.752126611 +0000 UTC m=+61.003868703
2070,0,0,0,0,0,go-server-deployment-69549d5865-6bss9,0,0,0,0,0,0,2019-10-19 02:10:04.301798219 +0000 UTC m=+61.003866105
2299,0,0,0,0,0,go-server-deployment-69549d5865-wc67x,0,0,0,0,0,0,2019-10-19 02:10:07.35561361 +0000 UTC m=+61.004366312
201628,71,10,8,200016,89,go-server-deployment-69549d5865-rq5f5,199340,89,0,0,0,0,2019-10-19 02:10:05.799499945 +0000 UTC m=+61.003260952
268078,29,3,11,300326,43,go-server-deployment-69549d5865-4vkn8,299781,43,0,0,0,0,2019-10-19 02:09:41.431923443 +0000 UTC m=+61.010054681
1470,0,0,0,0,0,go-server-deployment-69549d5865-fkvsg,0,0,0,0,0,0,2019-10-19 02:09:45.461264825 +0000 UTC m=+61.003372727
183658,25,0,1,168220,26,go-server-deployment-69549d5865-bmblp,167609,26,0,0,0,0,2019-10-19 02:14:47.485169075 +0000 UTC m=+61.010098454
120023,11,0,6,114362,17,go-server-deployment-69549d5865-vbn27,113807,17,0,0,0,0,2019-10-19 02:09:34.072364152 +0000 UTC m=+61.022706026
208846,58,3,12,192602,73,go-server-deployment-69549d5865-hfc2t,191768,73,0,0,0,0,2019-10-19 02:09:47.623375659 +0000 UTC m=+61.007269684
1335,0,0,0,479,0,go-server-deployment-69549d5865-ls6ml,0,0,0,0,0,0,2019-10-19 02:09:48.404215964 +0000 UTC m=+61.025659427
2538,0,0,0,331,0,go-server-deployment-69549d5865-qxshn,0,0,0,0,0,0,2019-10-19 02:09:50.075482367 +0000 UTC m=+61.005005013
1649,0,0,0,1,0,go-server-deployment-69549d5865-8dhq9,0,0,0,0,0,0,2019-10-19 02:10:05.169580128 +0000 UTC m=+61.005115118
4516,0,0,0,0,0,go-server-deployment-69549d5865-pn4xz,0,0,0,0,0,0,2019-10-19 02:09:56.645709504 +0000 UTC m=+61.007484062
2027,0,0,0,151,0,go-server-deployment-69549d5865-m82hb,0,0,0,0,0,0,2019-10-19 02:10:03.512030149 +0000 UTC m=+61.008050841
1510,0,0,0,124,0,go-server-deployment-69549d5865-fxwg5,0,0,0,0,0,0,2019-10-19 02:09:49.220385069 +0000 UTC m=+61.003040873
201308,0,1,5,302090,6,go-server-deployment-69549d5865-5x4hd,301584,6,0,0,0,0,2019-10-19 02:09:34.997213578 +0000 UTC m=+61.004451561
76485,0,6,4,210125,10,go-server-deployment-69549d5865-v4c75,209615,10,0,0,0,0,2019-10-19 02:10:21.955479631 +0000 UTC m=+61.014146288
99463,48,2,8,194502,58,go-server-deployment-69549d5865-pkdkt,193445,58,0,0,0,0,2019-10-19 02:09:47.524952404 +0000 UTC m=+61.006506626
87847,0,15,5,224786,20,go-server-deployment-69549d5865-2c2jk,224266,20,0,0,0,0,2019-10-19 02:10:22.343566242 +0000 UTC m=+61.003679676
210553,75,62,16,340962,153,go-server-deployment-69549d5865-qwb5n,340309,153,0,0,0,0,2019-10-19 02:09:32.911523222 +0000 UTC m=+61.009548474
2259,0,0,0,0,0,go-server-deployment-69549d5865-lnncq,0,0,0,0,0,0,2019-10-19 02:10:04.957559396 +0000 UTC m=+61.006614100
2069,0,0,0,1,0,go-server-deployment-69549d5865-zlsjf,0,0,0,0,0,0,2019-10-19 02:09:49.628591526 +0000 UTC m=+61.008558838
4285,0,0,0,53,0,go-server-deployment-69549d5865-vdf2l,0,0,0,0,0,0,2019-10-19 02:10:02.480013807 +0000 UTC m=+61.013369634
291359,15,60,2,302560,77,go-server-deployment-69549d5865-z5wml,301534,77,0,0,0,0,2019-10-19 02:09:34.193323972 +0000 UTC m=+61.003015358
202453,0,2,8,313608,10,go-server-deployment-69549d5865-ctd75,313098,10,0,0,0,0,2019-10-19 02:09:34.385437134 +0000 UTC m=+61.008975512
195468,0,0,4,177255,4,go-server-deployment-69549d5865-8m2zn,176751,4,0,0,0,0,2019-10-19 02:09:38.732420148 +0000 UTC m=+61.006040955
78546,42,104,15,224051,161,go-server-deployment-69549d5865-9jnn8,223186,161,0,0,0,0,2019-10-19 02:09:46.1546415 +0000 UTC m=+61.004097864
2029,0,0,0,0,0,go-server-deployment-69549d5865-fddpv,0,0,0,0,0,0,2019-10-19 02:10:05.655858124 +0000 UTC m=+61.010948641
1922,0,0,0,0,0,go-server-deployment-69549d5865-lpwvg,0,0,0,0,0,0,2019-10-19 02:09:47.914087334 +0000 UTC m=+61.005110037
3719,0,0,0,0,0,go-server-deployment-69549d5865-vqxdj,0,0,0,0,0,0,2019-10-19 02:09:56.372170748 +0000 UTC m=+61.005685097
280148,0,3,9,320979,12,go-server-deployment-69549d5865-m8qld,320453,12,0,0,0,0,2019-10-19 02:10:22.34336876 +0000 UTC m=+61.004669283
2432,0,0,0,1,0,go-server-deployment-69549d5865-22c8t,0,0,0,0,0,0,2019-10-19 02:10:05.70747081 +0000 UTC m=+61.005597611
1856,0,0,0,27,0,go-server-deployment-69549d5865-gqhtt,0,0,0,0,0,0,2019-10-19 02:09:48.381879815 +0000 UTC m=+61.005396315
1678,0,0,0,6,0,go-server-deployment-69549d5865-xmg9h,0,0,0,0,0,0,2019-10-19 02:09:48.273650698 +0000 UTC m=+61.008737551
285698,29,1,5,329199,35,go-server-deployment-69549d5865-6wth8,328166,35,0,0,0,0,2019-10-19 02:09:33.801129225 +0000 UTC m=+61.003003402
74522,0,2,10,205991,12,go-server-deployment-69549d5865-g5llf,205479,12,0,0,0,0,2019-10-19 02:10:19.792917491 +0000 UTC m=+61.003725795
248720,1,2,2,287023,5,go-server-deployment-69549d5865-262kx,286518,5,0,0,0,0,2019-10-19 02:09:38.902962448 +0000 UTC m=+61.010233816
194683,0,2,6,174241,8,go-server-deployment-69549d5865-qvwqj,173734,8,0,0,0,0,2019-10-19 02:09:33.570513477 +0000 UTC m=+61.011968007
257089,37,50,7,283594,94,go-server-deployment-69549d5865-2v67f,283000,94,0,0,0,0,2019-10-19 02:09:32.952104814 +0000 UTC m=+61.003182794
2843,0,0,0,0,0,go-server-deployment-69549d5865-9spn8,0,0,0,0,0,0,2019-10-19 02:10:03.30993514 +0000 UTC m=+61.062300358
1582,0,0,0,49,0,go-server-deployment-69549d5865-8sb8x,0,0,0,0,0,0,2019-10-19 02:09:45.488976836 +0000 UTC m=+61.006246259
243777,95,62,13,225189,170,go-server-deployment-69549d5865-6wxkp,224510,170,0,0,0,0,2019-10-19 02:09:37.004471311 +0000 UTC m=+61.004193629
304402,44,122,22,327389,188,go-server-deployment-69549d5865-dmkxb,326202,188,0,0,0,0,2019-10-19 02:09:37.309307921 +0000 UTC m=+61.003332975
304239,19,17,6,326374,42,go-server-deployment-69549d5865-w67mt,325579,42,0,0,0,0,2019-10-19 02:09:33.113633584 +0000 UTC m=+61.002553341
3772,0,0,0,23,0,go-server-deployment-69549d5865-srk2t,0,0,0,0,0,0,2019-10-19 02:09:53.581241041 +0000 UTC m=+61.006147895
1938,0,0,0,2,0,go-server-deployment-69549d5865-tztxn,0,0,0,0,0,0,2019-10-19 02:10:04.934925345 +0000 UTC m=+61.005795436
2066,0,0,0,1,0,go-server-deployment-69549d5865-vr9c2,0,0,0,0,0,0,2019-10-19 02:10:04.694926445 +0000 UTC m=+61.003907927
177603,0,2,6,286430,8,go-server-deployment-69549d5865-588ng,285922,8,0,0,0,0,2019-10-19 02:10:06.049867252 +0000 UTC m=+61.003407118
199913,22,8,4,311828,34,go-server-deployment-69549d5865-kk5dt,311290,34,0,0,0,0,2019-10-19 02:09:35.262330914 +0000 UTC m=+61.012080124
283172,0,7,3,317006,10,go-server-deployment-69549d5865-z26df,316496,10,0,0,0,0,2019-10-19 02:09:35.59539045 +0000 UTC m=+61.002477168
3264,0,0,0,0,0,go-server-deployment-69549d5865-wpfgv,0,0,0,0,0,0,2019-10-19 02:09:58.302006388 +0000 UTC m=+61.004355454
297192,5,1,4,316484,10,go-server-deployment-69549d5865-zwwkb,315974,10,0,0,0,0,2019-10-19 02:10:24.039473169 +0000 UTC m=+61.003637301
2524,0,0,0,0,0,go-server-deployment-69549d5865-fs9qc,0,0,0,0,0,0,2019-10-19 02:10:04.624590958 +0000 UTC m=+61.004984437
286909,57,187,12,353759,256,go-server-deployment-69549d5865-ll64v,352893,256,0,0,0,0,2019-10-19 02:09:36.125936188 +0000 UTC m=+61.004207911
2861,0,0,0,14,0,go-server-deployment-69549d5865-vbdxf,0,0,0,0,0,0,2019-10-19 02:09:50.172570013 +0000 UTC m=+61.009740432
2866,0,0,0,0,0,go-server-deployment-69549d5865-5knwm,0,0,0,0,0,0,2019-10-19 02:09:49.639695471 +0000 UTC m=+61.019377722
3466,0,0,0,9,0,go-server-deployment-69549d5865-hdhvq,0,0,0,0,0,0,2019-10-19 02:09:54.179816305 +0000 UTC m=+61.012192985
1768,0,0,0,2,0,go-server-deployment-69549d5865-7bxnj,0,0,0,0,0,0,2019-10-19 02:09:49.140615963 +0000 UTC m=+61.007120652
213508,0,2,8,183516,10,go-server-deployment-69549d5865-rh89h,183006,10,0,0,0,0,2019-10-19 02:09:47.533440845 +0000 UTC m=+61.018884270
283561,0,0,3,318846,3,go-server-deployment-69549d5865-7gl9b,318343,3,0,0,0,0,2019-10-19 02:09:39.159310276 +0000 UTC m=+61.005012303
4154,0,0,0,242,0,go-server-deployment-69549d5865-kz5pd,0,0,0,0,0,0,2019-10-19 02:09:56.081182057 +0000 UTC m=+61.003178811
127735,0,3,1,244748,4,go-server-deployment-69549d5865-jlqxg,244244,4,0,0,0,0,2019-10-19 02:09:34.627189089 +0000 UTC m=+61.009045907
202656,7,0,10,298429,17,go-server-deployment-69549d5865-xws49,297912,17,0,0,0,0,2019-10-19 02:09:34.378460875 +0000 UTC m=+61.007170201
3133,0,0,0,1,0,go-server-deployment-69549d5865-h5wmr,0,0,0,0,0,0,2019-10-19 02:09:52.618945861 +0000 UTC m=+61.016808339
189808,0,20,2,310302,22,go-server-deployment-69549d5865-6mrqc,309780,22,0,0,0,0,2019-10-19 02:09:35.034855663 +0000 UTC m=+61.006538281
1676,0,0,0,0,0,go-server-deployment-69549d5865-pk245,0,0,0,0,0,0,2019-10-19 02:09:47.051126402 +0000 UTC m=+61.006077228
1840,0,0,0,1,0,go-server-deployment-69549d5865-s5pr2,0,0,0,0,0,0,2019-10-19 02:10:06.259963186 +0000 UTC m=+61.002311003
260279,13,6,6,264746,25,go-server-deployment-69549d5865-7v52p,264192,25,0,0,0,0,2019-10-19 02:09:33.264029301 +0000 UTC m=+61.006930599
189363,0,0,4,173327,4,go-server-deployment-69549d5865-4ztmm,172786,4,0,0,0,0,2019-10-19 02:09:34.743928211 +0000 UTC m=+61.004329336
907,0,0,0,1,0,go-server-deployment-69549d5865-lp7rm,0,0,0,0,0,0,2019-10-19 02:09:54.473098206 +0000 UTC m=+61.008674953
2495,0,0,0,1,0,go-server-deployment-69549d5865-hvl7z,0,0,0,0,0,0,2019-10-19 02:10:05.491468283 +0000 UTC m=+61.005816569
64219,0,5,8,212737,13,go-server-deployment-69549d5865-xnzdf,212224,13,0,0,0,0,2019-10-19 02:09:46.607085386 +0000 UTC m=+61.005723385
3248,0,0,0,1,0,go-server-deployment-69549d5865-n462k,0,0,0,0,0,0,2019-10-19 02:10:06.413140309 +0000 UTC m=+61.014972883
1574,0,0,0,25,0,go-server-deployment-69549d5865-2nxm5,0,0,0,0,0,0,2019-10-19 02:09:48.869540968 +0000 UTC m=+61.009331799
280000,0,2,4,317231,6,go-server-deployment-69549d5865-sbsvz,316725,6,0,0,0,0,2019-10-19 02:10:23.5915516 +0000 UTC m=+61.003436458
1424,0,0,0,0,0,go-server-deployment-69549d5865-sj7ks,0,0,0,0,0,0,2019-10-19 02:09:47.392985279 +0000 UTC m=+61.006784959
145467,59,1,9,131119,69,go-server-deployment-69549d5865-qznnj,130051,69,0,0,0,0,2019-10-19 02:09:33.06236491 +0000 UTC m=+61.046119524
77660,22,0,9,218251,31,go-server-deployment-69549d5865-vzd4j,217720,31,0,0,0,0,2019-10-19 02:10:20.831772782 +0000 UTC m=+61.004384188
3612,0,0,0,0,0,go-server-deployment-69549d5865-42mvt,0,0,0,0,0,0,2019-10-19 02:09:53.928441139 +0000 UTC m=+61.013749274
267582,77,59,18,239866,154,go-server-deployment-69549d5865-jmmdj,238951,154,0,0,0,0,2019-10-19 02:09:40.81072874 +0000 UTC m=+61.015906971
231917,0,9,8,265657,17,go-server-deployment-69549d5865-zk7n9,265056,17,0,0,0,0,2019-10-19 02:09:37.173594769 +0000 UTC m=+61.003448636
3370,0,0,0,1,0,go-server-deployment-69549d5865-jgx9t,0,0,0,0,0,0,2019-10-19 02:10:04.627907291 +0000 UTC m=+61.012528662
201962,34,1,5,195231,40,go-server-deployment-69549d5865-9qwzx,194580,40,0,0,0,0,2019-10-19 02:09:41.706829361 +0000 UTC m=+61.003027441
3178,0,0,0,30,0,go-server-deployment-69549d5865-2cdsr,0,0,0,0,0,0,2019-10-19 02:09:56.138350392 +0000 UTC m=+61.004642238
97355,0,0,1,65356,1,go-server-deployment-69549d5865-xdmq2,64356,1,0,0,0,0,2019-10-19 02:09:33.716628888 +0000 UTC m=+61.004057901
253240,0,28,4,250678,32,go-server-deployment-69549d5865-hf9xh,250146,32,0,0,0,0,2019-10-19 02:09:39.166871168 +0000 UTC m=+61.006003908
88991,0,3,2,205444,5,go-server-deployment-69549d5865-6hbzg,204939,5,0,0,0,0,2019-10-19 02:10:22.66464013 +0000 UTC m=+61.002846344
191377,0,31,5,327100,36,go-server-deployment-69549d5865-7nvnq,326564,36,0,0,0,0,2019-10-19 02:09:34.305619708 +0000 UTC m=+61.028013310
270158,9,0,6,286344,15,go-server-deployment-69549d5865-qddt8,285832,15,0,0,0,0,2019-10-19 02:10:24.593115747 +0000 UTC m=+61.002463471
2410,0,0,0,222,0,go-server-deployment-69549d5865-wpsgq,0,0,0,0,0,0,2019-10-19 02:09:49.215489848 +0000 UTC m=+61.006220965
131359,0,0,5,116120,5,go-server-deployment-69549d5865-rdbdz,115615,5,0,0,0,0,2019-10-19 02:09:36.046464771 +0000 UTC m=+61.004824090
249427,19,56,16,262477,91,go-server-deployment-69549d5865-x87l4,261607,91,0,0,0,0,2019-10-19 02:12:40.984911117 +0000 UTC m=+61.009949222
181827,0,0,6,183800,6,go-server-deployment-69549d5865-vhgmg,183182,6,0,0,0,0,2019-10-19 02:09:33.151340698 +0000 UTC m=+61.009187050
1905,0,0,0,3,0,go-server-deployment-69549d5865-nkxdg,0,0,0,0,0,0,2019-10-19 02:09:49.5971126 +0000 UTC m=+61.024195464
192009,0,4,5,301547,9,go-server-deployment-69549d5865-qsgkx,301038,9,0,0,0,0,2019-10-19 02:09:32.805222775 +0000 UTC m=+61.011253954
55967,0,0,0,32123,0,go-server-deployment-69549d5865-rk2fp,31125,0,0,0,0,0,2019-10-19 02:09:35.032765298 +0000 UTC m=+61.003633708
287449,38,41,10,329612,89,go-server-deployment-69549d5865-l4dnh,328671,89,0,0,0,0,2019-10-19 02:09:34.002168882 +0000 UTC m=+61.003220244
160011,38,23,5,296281,66,go-server-deployment-69549d5865-rj8xh,295715,66,0,0,0,0,2019-10-19 02:09:34.412006868 +0000 UTC m=+61.014868080
197459,29,2,7,194523,38,go-server-deployment-69549d5865-jcwxg,193919,38,0,0,0,0,2019-10-19 02:09:34.658855832 +0000 UTC m=+61.005677386
182710,58,0,7,174327,65,go-server-deployment-69549d5865-78zdk,173263,65,0,0,0,0,2019-10-19 02:09:33.493470394 +0000 UTC m=+61.007434419
2248,0,0,0,419,0,go-server-deployment-69549d5865-74rdk,0,0,0,0,0,0,2019-10-19 02:09:50.571469005 +0000 UTC m=+61.003886290
171784,0,0,2,155070,2,go-server-deployment-69549d5865-txz5n,154569,2,0,0,0,0,2019-10-19 02:10:06.789332733 +0000 UTC m=+61.009060519
1491,0,0,0,0,0,go-server-deployment-69549d5865-wq5kz,0,0,0,0,0,0,2019-10-19 02:10:02.927007202 +0000 UTC m=+61.004102919
1760,0,0,0,1,0,go-server-deployment-69549d5865-wgtqx,0,0,0,0,0,0,2019-10-19 02:09:44.963925146 +0000 UTC m=+61.005160975
85400,0,0,5,195133,5,go-server-deployment-69549d5865-lzqtn,194628,5,0,0,0,0,2019-10-19 02:10:21.355585053 +0000 UTC m=+61.005959963
196475,3,1,5,282625,9,go-server-deployment-69549d5865-h5qg7,282116,9,0,0,0,0,2019-10-19 02:09:34.118366533 +0000 UTC m=+61.003082771
277289,1,1,5,318987,7,go-server-deployment-69549d5865-x66g6,318480,7,0,0,0,0,2019-10-19 02:09:36.649347646 +0000 UTC m=+61.003545358
1486,0,0,0,25,0,go-server-deployment-69549d5865-zmdk9,0,0,0,0,0,0,2019-10-19 02:09:46.532897365 +0000 UTC m=+61.003232583
76332,42,3,9,213012,54,go-server-deployment-69549d5865-mgchn,212458,54,0,0,0,0,2019-10-19 02:10:19.558932474 +0000 UTC m=+61.004452179
